index,build,test_index,SIZE,LISTSorQUEUES_PER_CORE,RATE,GPU-POWER,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,RX-GOODPUT-GBPS-PKTGEN,run_index
58,ROI,19,512,1,72,255.42999999999998,16496493.0,70208.7369536,0.00054817953109865,0.00024166280864198,71.0,1
59,ROI,19,512,1,72,260.32,16502517.0,70234.3791648,0.00032051497955321,0.00024007947530864002,71.0,2
60,ROI,20,512,1,69,259.8,15880073.0,67585.25736,0.00052252036989209,0.00023807291666667,69.0,0
61,ROI,20,512,1,69,258.68,15885285.0,67607.4267424,0.00035865617696251,0.00024029050925926,69.0,1
62,ROI,20,512,1,69,254.05999999999997,15882981.0,67597.629456,0.00041607737371396,0.00024107484567901,69.0,2
63,ROI,21,512,1,71,258.98,16285781.0,69311.9490464,0.00037929749757748,0.00023980478395061998,71.0,0
64,ROI,21,512,1,71,254.45999999999998,16286451.0,69314.7959136,0.00050929898859575,0.00024180169753086,71.0,1
65,ROI,21,512,1,71,259.61,16287836.0,69320.693472,0.00048596089050379,0.00024188927469135998,71.0,2
66,ROI,22,1024,1,100,252.82,11154017.0,93157.5915328,0.00033844505491565,0.00087427083333333,95.0,0
67,ROI,22,1024,1,100,254.10000000000002,11199414.0,93536.7596448,0.00025068240030657,0.00087214853395062,95.0,1
68,ROI,22,1024,1,100,253.0,11440023.0,95546.3337664,0.00037590681949762,0.0008689108796296301,97.0,2
69,ROI,23,1024,1,95,253.26999999999998,11131636.0,92970.6814304,0.00034248278836968,0.00034159027777778,95.0,0
70,ROI,23,1024,1,95,253.49,11132912.0,92981.3350336,0.00033944548007503,0.00034302199074074004,95.0,1
71,ROI,23,1024,1,95,257.65,11133099.0,92982.8960064,0.00044214306670809,0.00034237075617284,95.0,2
72,ROI,24,1024,1,96,252.88,11227298.0,93769.648752,0.00036111408047712,0.00034122839506172997,96.0,0
73,ROI,24,1024,1,96,257.90999999999997,11229879.0,93791.1942976,0.0004370175415751,0.00034588194444444,96.0,1
74,ROI,24,1024,1,96,253.80999999999997,11233883.0,93824.6398816,0.00029559840826254,0.00034219290123457,96.0,2
75,ROI,25,64,2,100,349.99,39344903.0,26439.8697248,0.15088225728674,0.00030633140432098996,27.0,0
76,ROI,25,64,2,100,338.69,39372937.0,26458.80984,0.14997755553315,0.00031130478395062,27.0,1
77,ROI,25,64,2,100,348.6,39478604.0,26529.8774816,0.14913214078219,0.00030785339506173,27.0,2
78,ROI,26,64,2,27,345.33,35463017.0,23831.1571264,0.0019475789001525,0.00014629938271605,24.0,0
79,ROI,26,64,2,27,349.26000000000005,35485813.0,23846.4718432,0.0018963815436916,0.00014536111111111,24.0,1
80,ROI,26,64,2,27,348.86,35200790.0,23654.9375904,0.0040271991232693,0.00014530478395061999,24.0,2
81,ROI,27,64,2,20,315.57,28974775.0,19471.0585536,0.0016396976133239,0.00015267206790123,19.0,0
82,ROI,27,64,2,20,309.86,28982187.0,19476.0361216,0.0015472679139211,0.00015267978395062,19.0,1
83,ROI,27,64,2,20,311.54,28973031.0,19469.8864512,0.0017629874016237,0.00015321219135802,19.0,2
84,ROI,28,64,2,17,277.07,24738198.0,16624.076768,0.0015833200705904,0.00016386111111111,17.0,0
85,ROI,28,64,2,17,277.24,24740061.0,16625.3308896,0.0016409406643116,0.00016620293209877,17.0,1
