index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,LISTS_PER_CORE,MEMPOOL_GPU,PERSISTENT_KERNEL,RX-RATE,LOSE-RATE,run_index
232,local,77,100,256,8,512,256,1,false,true,22.4702021632,0.72419037707838,1
233,local,77,100,256,8,512,256,1,false,true,22.249833472,0.72338643392396,2
234,local,78,100,512,8,512,256,1,false,true,25.5784689664,0.71215852214739,0
235,local,78,100,512,8,512,256,1,false,true,25.5491325952,0.7110065468547,1
236,local,78,100,512,8,512,256,1,false,true,25.3115817984,0.71468716437422,2
237,local,79,100,1024,8,512,256,1,false,true,27.3504731136,0.71252973317841,0
238,local,79,100,1024,8,512,256,1,false,true,27.2521076736,0.713380974375,1
239,local,79,100,1024,8,512,256,1,false,true,27.2958857216,0.71352416588656,2
240,local,80,100,64,1,1024,256,1,false,true,4.4635783168,0.83573505111528,0
241,local,80,100,64,1,1024,256,1,false,true,4.4594100224,0.83580660772544,1
242,local,80,100,64,1,1024,256,1,false,true,4.462537728,0.83553496654897,2
243,local,81,100,128,1,1024,256,1,false,true,4.6007486464,0.91274317878125,0
244,local,81,100,128,1,1024,256,1,false,true,4.6045118464,0.91266959594045,1
245,local,81,100,128,1,1024,256,1,false,true,4.6069989376,0.91256561879742,2
246,local,82,100,256,1,1024,256,1,false,true,4.7705448448,0.94593201230377,0
247,local,82,100,256,1,1024,256,1,false,true,4.77551104,0.94587040439869,1
248,local,82,100,256,1,1024,256,1,false,true,4.7786862592,0.94572343669205,2
249,local,83,100,512,1,1024,256,1,false,true,5.0005803008,0.94586914746544,0
250,local,83,100,512,1,1024,256,1,false,true,4.9943359488,0.9459886328452,1
251,local,83,100,512,1,1024,256,1,false,true,5.0018676736,0.94592984764051,2
252,local,84,100,1024,1,1024,256,1,false,true,5.1826016256,0.94569094351158,0
253,local,84,100,1024,1,1024,256,1,false,true,5.1673366528,0.94584115642604,1
254,local,84,100,1024,1,1024,256,1,false,true,5.197582336,0.94555169909596,2
255,local,85,100,64,2,1024,256,1,false,true,4.7120265728,0.82637808926736,0
256,local,85,100,64,2,1024,256,1,false,true,4.7191763456,0.82623115029965,1
257,local,85,100,64,2,1024,256,1,false,true,4.7197186048,0.82613034664179,2
258,local,86,100,128,2,1024,256,1,false,true,4.6996763648,0.91106603880631,0
259,local,86,100,128,2,1024,256,1,false,true,4.7023998976,0.91087969733155,1
260,local,86,100,128,2,1024,256,1,false,true,4.6989017088,0.91090742083635,2
261,local,87,100,256,2,1024,256,1,false,true,4.8423010304,0.94510135400465,0
262,local,87,100,256,2,1024,256,1,false,true,4.833947648,0.94514343106784,1
263,local,87,100,256,2,1024,256,1,false,true,4.8439830528,0.94486697967636,2
264,local,88,100,512,2,1024,256,1,false,true,5.3750439936,0.94174173308669,0
