index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,ZEROCOPY,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
220,local,107,0.1,1024,16,64,256,4,false,0,145279.0,1212.6490496,4.1297996014711e-05,0.0011868391203704,1
221,local,108,100.0,64,1,1024,256,4,false,0,5119928.0,3440.5925568,0.90493422255812,0.00065182214506173,0
222,local,108,100.0,64,1,1024,256,4,false,0,5070939.0,3407.672016,0.90545623788957,0.00067889043209877,1
223,local,109,0.1,64,1,1024,256,4,false,0,145221.0,97.5976416,0.00092806690337299,0.0011824915123456999,0
224,local,109,0.1,64,1,1024,256,4,false,0,145252.0,97.6186752,0.00092717928400854,0.0011791720679012,1
225,local,110,100.0,1024,1,1024,256,4,false,0,4945482.0,41304.3651936,0.56161708871551,0.0011201658950617,0
226,local,110,100.0,1024,1,1024,256,4,false,0,4950921.0,41349.7775968,0.56397446669586,0.001115912037037,1
227,local,111,0.1,1024,1,1024,256,4,false,0,145168.0,1211.7365376,0.00097171898602633,0.0011931454475309,0
228,local,111,0.1,1024,1,1024,256,4,false,0,145188.0,1211.890608,0.0010217653214915,0.0011944417438272,1
229,local,112,100.0,64,4,1024,256,4,false,0,19697372.0,13236.6379296,0.61894447178458,0.0005591473765432101,0
230,local,112,100.0,64,4,1024,256,4,false,0,19730147.0,13258.6628928,0.61864484057829,0.00055840817901235,1
231,local,113,0.1,64,4,1024,256,4,false,0,145296.0,97.6484352,0.00013212584987199,0.0011603738425926002,0
232,local,113,0.1,64,4,1024,256,4,false,0,145330.0,97.671168,0.87851982827421,0.0011609733796296,1
233,local,113,0.1,64,4,1024,256,4,false,0,17656.0,14.6905408,,,2
234,local,114,100.0,1024,4,1024,256,4,false,0,11053905.0,92321.4762336,0.00031743402181339,0.0008821940586419799,0
235,local,114,100.0,1024,4,1024,256,4,false,0,11172745.0,93314.0201728,0.00037510272714936,0.0008749355709876499,1
236,local,115,0.1,1024,4,1024,256,4,false,0,145335.0,1213.1302656,0.00013277818750201,0.0011713719135802,0
237,local,115,0.1,1024,4,1024,256,4,false,0,145322.0,1213.013952,9.7016034479869e-05,0.0011720289351852,1
238,local,116,100.0,64,16,1024,256,4,false,0,42972292.0,29631.2325184,0.038548383403661,0.00030128433641975,0
