index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
118,local,82,100.0,1024,3,256,256,4,3320524.0,27732.8244288,0.71745847744893,0.017257293209877,1
119,local,84,100.0,64,6,256,256,4,3573319.0,2401.2713376,0.9335953931689,0.016724162037037,0
120,local,84,100.0,64,6,256,256,4,3633245.0,2441.5413792,0.93247747959453,0.015324555941357999,1
121,local,86,100.0,256,6,256,256,4,3523840.0,7780.631088,0.92028071421362,0.0080862777777778,0
122,local,86,100.0,256,6,256,256,4,3462891.0,7646.0565696,0.92178928767269,0.0075117372685185,1
123,local,88,100.0,1024,6,256,256,4,2936140.0,24522.470496,0.75019455346274,0.0097743753858025,0
124,local,88,100.0,1024,6,256,256,4,2921318.0,24398.671536,0.75141964670481,0.0098895505401235,1
125,local,90,100.0,64,1,1024,256,4,2706534.0,1818.7915104,0.9504789200261,0.0013290748456789999,0
126,local,90,100.0,64,1,1024,256,4,2690040.0,1807.7041888,0.95065457346792,0.0014217341820987998,1
127,local,91,0.1,64,1,1024,256,4,145189.0,97.5764224,0.0010155728043915,0.0011495887345679,0
128,local,91,0.1,64,1,1024,256,4,145214.0,97.5928704,0.0010153988398587,0.0011512137345679,1
129,local,92,100.0,256,1,1024,256,4,2681446.0,5920.6258752,0.93725743820451,0.0014869826388889,0
130,local,92,100.0,256,1,1024,256,4,2673868.0,5903.8939584,0.93739377800029,0.0016413954475308998,1
131,local,93,0.1,256,1,1024,256,4,145238.0,320.5524864,0.00083929092299984,0.0011526577932099002,0
132,local,93,0.1,256,1,1024,256,4,145226.0,320.5235776,0.00088748114962522,0.0011533514660494,1
133,local,94,100.0,1024,1,1024,256,4,2611100.0,21807.7297792,0.7720217260292,0.0019744799382716,0
134,local,94,100.0,1024,1,1024,256,4,2605875.0,21764.0967552,0.77208198003808,0.0019481925154321,1
135,local,95,0.1,1024,1,1024,256,4,145303.0,1212.8630016,0.00013211939464541,0.0011640983796296,0
136,local,95,0.1,1024,1,1024,256,4,145349.0,1213.2377856,0.00013207795075554,0.0011632087191358,1
