index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,LISTS_PER_CORE,MEMPOOL_GPU,PERSISTENT_KERNEL,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
178,local,97,0.1,64,1,64,256,4,false,true,0,145142.0,97.5446784,0.001238625291077,0.00081845910493827,0
179,local,97,0.1,64,1,64,256,4,false,true,0,145179.0,97.5694848,0.0012987727697981,0.00081720447530864,1
180,local,98,100.0,1024,1,64,256,4,false,true,0,3317472.0,27707.3065152,0.71767722169472,0.0011683325617284,0
181,local,98,100.0,1024,1,64,256,4,false,true,0,3313914.0,27677.5955872,0.71802525471705,0.0011662469135802001,1
182,local,99,0.1,1024,1,64,256,4,false,true,0,145225.0,1212.2154688,0.0007527426253241,0.0012541952160494,0
183,local,99,0.1,1024,1,64,256,4,false,true,0,145223.0,1212.19848,0.00081119239089156,0.0012515204475308998,1
184,local,100,100.0,64,4,64,256,4,false,true,0,6735744.0,4526.4198368,0.87351579390483,0.0012692183641975,0
185,local,100,100.0,64,4,64,256,4,false,true,0,6721765.0,4517.0261152,0.87318865926842,0.0012956832561728,1
186,local,101,0.1,64,4,64,256,4,false,true,0,145314.0,97.6605984,1.3074890910625e-05,0.00099494212962963,0
187,local,101,0.1,64,4,64,256,4,false,true,0,145345.0,97.68144,2.064000528379e-05,0.0010255374228395002,1
188,local,102,100.0,1024,4,64,256,4,false,true,0,6835216.0,57087.3132864,0.41808422381436,0.0017868460648148,0
189,local,102,100.0,1024,4,64,256,4,false,true,0,6853669.0,57241.4067264,0.41659734701561,0.001779962962963,1
190,local,103,0.1,1024,4,64,256,4,false,true,0,145315.0,1212.9568288,5.5049709888011e-05,0.0010599344135802,0
191,local,103,0.1,1024,4,64,256,4,false,true,0,145332.0,1213.1052096,2.1329883855392e-05,0.0010565505401235,1
192,local,104,100.0,64,16,64,256,4,false,true,0,,,1.0,,0
193,local,104,100.0,64,16,64,256,4,false,true,0,,,1.0,,1
194,local,105,0.1,64,16,64,256,4,false,true,0,,,1.0,,0
195,local,105,0.1,64,16,64,256,4,false,true,0,,,1.0,,1
196,local,106,100.0,1024,16,64,256,4,false,true,0,,,1.0,,0
197,local,106,100.0,1024,16,64,256,4,false,true,0,,,1.0,,1
198,local,107,0.1,1024,16,64,256,4,false,true,0,,0.0002848,0.99999931191224,,0
199,local,107,0.1,1024,16,64,256,4,false,true,0,,,1.0,,1
200,local,108,100.0,64,1,1024,256,4,false,true,0,3448486.0,2317.383552,0.93618638814013,0.001085231095679,0
201,local,108,100.0,64,1,1024,256,4,false,true,0,3433503.0,2307.3145056,0.93630182671998,0.00094657716049383,1
202,local,109,0.1,64,1,1024,256,4,false,true,0,145251.0,97.6180608,0.00088320264135366,0.0019342341820988,0
203,local,109,0.1,64,1,1024,256,4,false,true,0,145219.0,97.5965568,0.00083940179549424,0.0019062445987654,1
204,local,110,100.0,1024,1,1024,256,4,false,true,0,3415078.0,28522.5122048,0.7003608484954,0.001473106095679,0
205,local,110,100.0,1024,1,1024,256,4,false,true,0,3431802.0,28662.206832,0.69851618388239,0.0014563310185185,1
206,local,111,0.1,1024,1,1024,256,4,false,true,0,145239.0,1212.3220768,0.00057733422972672,0.0019715351080247003,0
207,local,111,0.1,1024,1,1024,256,4,false,true,0,145263.0,1212.5299776,0.00045070213199305,0.0019924320987654,1
208,local,112,100.0,64,4,1024,256,4,false,true,0,10393412.0,6984.5826816,0.80502165299302,0.0019641593364198,0
209,local,112,100.0,64,4,1024,256,4,false,true,0,10406841.0,6993.578688,0.8038892450021,0.0021019760802469,1
210,local,113,0.1,64,4,1024,256,4,false,true,0,145311.0,97.6585056,0.00020503420906337,0.002046324845679,0
211,local,113,0.1,64,4,1024,256,4,false,true,0,145327.0,97.6692928,0.0001912556275937,0.0019269756944444,1
212,local,114,100.0,1024,4,1024,256,4,false,true,0,10024636.0,83725.0410272,0.071992929968036,0.0021009579475309,0
213,local,114,100.0,1024,4,1024,256,4,false,true,0,9994707.0,83475.0926208,0.084323300115117,0.0020790108024691,1
214,local,115,0.1,1024,4,1024,256,4,false,true,0,145290.0,1212.7522048,0.00022363944642012,0.001974111882716,0
215,local,115,0.1,1024,4,1024,256,4,false,true,0,145315.0,1212.9521472,0.00010321316339401,0.0021133919753086,1
216,local,116,100.0,64,16,1024,256,4,false,true,0,,,1.0,,0
217,local,116,100.0,64,16,1024,256,4,false,true,0,,,1.0,,1
218,local,117,0.1,64,16,1024,256,4,false,true,0,,0.0002848,1.0,,0
219,local,117,0.1,64,16,1024,256,4,false,true,0,,,0.99999931202633,,1
220,local,118,100.0,1024,16,1024,256,4,false,true,0,,,1.0,,0
221,local,118,100.0,1024,16,1024,256,4,false,true,0,,,1.0,,1
222,local,119,0.1,1024,16,1024,256,4,false,true,0,,0.0002848,0.99999931191224,,0
223,local,119,0.1,1024,16,1024,256,4,false,true,0,,,1.0,,1
224,local,120,100.0,64,1,64,256,16,false,true,0,3282146.0,2205.6030048,0.93839515119674,0.00077482021604938,0
225,local,120,100.0,64,1,64,256,16,false,true,0,3222665.0,2165.6316864,0.93950675374969,0.0008840462962963001,1
226,local,121,0.1,64,1,64,256,16,false,true,0,145167.0,97.56168,0.0011580070718935,0.00081086304012346,0
227,local,121,0.1,64,1,64,256,16,false,true,0,145179.0,97.5697696,0.0012541138787685,0.0008036385030864199,1
228,local,122,100.0,1024,1,64,256,16,false,true,0,3312058.0,27662.115744,0.71814979557969,0.0012300439814815,0
229,local,122,100.0,1024,1,64,256,16,false,true,0,3316322.0,27697.707408,0.71783928889287,0.0012228522376543,1
230,local,123,0.1,1024,1,64,256,16,false,true,0,145237.0,1212.3037024,0.00072449658495843,0.0012471867283951,0
231,local,123,0.1,1024,1,64,256,16,false,true,0,145197.0,1211.9829216,0.00081339976327455,0.0012506253858025,1
232,local,124,100.0,64,4,64,256,16,false,true,0,,,1.0,,0
233,local,124,100.0,64,4,64,256,16,false,true,0,,,1.0,,1
234,local,125,0.1,64,4,64,256,16,false,true,0,,,1.0,,0
235,local,125,0.1,64,4,64,256,16,false,true,0,,,1.0,,1
236,local,126,100.0,1024,4,64,256,16,false,true,0,,,1.0,,0
237,local,126,100.0,1024,4,64,256,16,false,true,0,,,1.0,,1
238,local,127,0.1,1024,4,64,256,16,false,true,0,,0.0002848,0.9999993117607,,0
239,local,127,0.1,1024,4,64,256,16,false,true,0,,,1.0,,1
240,local,128,100.0,64,16,64,256,16,false,true,0,,,1.0,,0
241,local,128,100.0,64,16,64,256,16,false,true,0,,,1.0,,1
242,local,129,0.1,64,16,64,256,16,false,true,0,,,1.0,,0
243,local,129,0.1,64,16,64,256,16,false,true,0,,,1.0,,1
244,local,130,100.0,1024,16,64,256,16,false,true,0,,,1.0,,0
245,local,130,100.0,1024,16,64,256,16,false,true,0,,,1.0,,1
246,local,131,0.1,1024,16,64,256,16,false,true,0,,0.0002848,0.99999931190846,,0
247,local,131,0.1,1024,16,64,256,16,false,true,0,,,1.0,,1
248,local,132,100.0,64,1,1024,256,16,false,true,0,3433203.0,2307.1130112,0.93654244957014,0.00097129320987654,0
249,local,132,100.0,64,1,1024,256,16,false,true,0,3470878.0,2332.4309856,0.93550746768775,0.0011694587191358001,1
250,local,133,0.1,64,1,1024,256,16,false,true,0,145188.0,97.5755904,0.00084027020777588,0.0019156743827160002,0
251,local,133,0.1,64,1,1024,256,16,false,true,0,145221.0,97.5976416,0.00084076860836968,0.0019061890432099,1
252,local,134,100.0,1024,1,1024,256,16,false,true,0,3414489.0,28517.6093376,0.70027556473759,0.0014660042438272,0
253,local,134,100.0,1024,1,1024,256,16,false,true,0,3415273.0,28524.1378176,0.69993399077224,0.0014758885030864,1
254,local,135,0.1,1024,1,1024,256,16,false,true,0,145252.0,1212.426256,0.00040396088117145,0.0019351454475308998,0
255,local,135,0.1,1024,1,1024,256,16,false,true,0,145270.0,1212.5876832,0.00062258875845478,0.001908162808642,1
256,local,136,100.0,64,4,1024,256,16,false,true,0,,0.0002848,1.0,,0
257,local,136,100.0,64,4,1024,256,16,false,true,0,,,0.99999999819522,,1
258,local,137,0.1,64,4,1024,256,16,false,true,0,,,1.0,,0
