index,build,test_index,RATE,SIZE,NTHREADS,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
105,CPU version,52,100.0,1024,16,5,1744.0,14.5718112,0.99985153828266,,1
106,CPU version,53,0.1,1024,16,5,1739.0,14.5253248,0.98803367879925,,0
107,CPU version,53,0.1,1024,16,5,1745.0,14.5776576,0.98799101476097,,1
108,GPU Coalescent version,0,100.0,64,1,0,10344305.0,6951.3733952,0.80551185038828,0.00046313310185185,0
109,GPU Coalescent version,0,100.0,64,1,0,10458322.0,7027.994848,0.80323982843547,0.00046974575617284,1
110,GPU Coalescent version,1,0.1,64,1,0,145201.0,97.5847392,0.0010161713662585,0.001098274691358,0
111,GPU Coalescent version,1,0.1,64,1,0,145226.0,97.601472,0.00092734257190341,0.0010980250771604999,1
112,GPU Coalescent version,2,100.0,256,1,0,10566713.0,23331.2735328,0.72931120188817,0.00058824845679012,0
113,GPU Coalescent version,2,100.0,256,1,0,10596510.0,23397.060384,0.72834377053451,0.00059378703703704,1
114,GPU Coalescent version,3,0.1,256,1,0,145232.0,320.5383552,0.0009273068477621,0.0011000489969136,0
115,GPU Coalescent version,3,0.1,256,1,0,145246.0,320.567232,0.00079525816997061,0.0011125744598765,1
116,GPU Coalescent version,4,100.0,1024,1,0,9996797.0,83492.5648192,0.0956469623056,0.0009136064814814801,0
117,GPU Coalescent version,4,100.0,1024,1,0,10011187.0,83612.7597696,0.095430177249088,0.0009156724537036999,1
118,GPU Coalescent version,5,0.1,1024,1,0,145203.0,1212.030528,0.00095017531112906,0.0011214880401235,0
119,GPU Coalescent version,5,0.1,1024,1,0,145216.0,1212.1375104,0.00094940366442298,0.0011207202932099001,1
120,GPU Coalescent version,6,100.0,64,4,0,38922614.0,26156.0886944,0.16257394680528,0.00033277430555556,0
121,GPU Coalescent version,6,100.0,64,4,0,38838729.0,26099.7054048,0.16681899747455,0.00033280671296296,1
122,GPU Coalescent version,7,0.1,64,4,0,145341.0,97.6785408,0.00013209021761862,0.0010923329475309,0
123,GPU Coalescent version,7,0.1,64,4,0,145336.0,97.6748544,,0.0010929506172839998,1
124,GPU Coalescent version,8,100.0,256,4,0,28180964.0,62223.4164544,0.0011349065662262,0.0003818225308642,0
125,GPU Coalescent version,8,100.0,256,4,0,28226181.0,62323.2845472,0.0010230087208439,0.00038144791666666996,1
126,GPU Coalescent version,9,0.1,256,4,0,145309.0,320.7088128,0.00013211421273696,0.0010952264660494,0
